'Elapsed time','ECG'
000.000,0.140	
000.010,0.170	
000.020,0.215	
000.030,0.245	
000.040,0.250	
000.050,0.240	
000.060,0.240	
000.070,0.255	
000.080,0.230	
000.090,0.180	
000.100,0.130	
000.110,0.090	
000.120,0.025	
000.130,0.000	
000.140,-0.005	
000.150,-0.020	
000.160,-0.025	
000.170,-0.030	
000.180,-0.005	
000.190,-0.020	
000.200,-0.020	
000.210,-0.020	
000.220,-0.025	
000.230,-0.010	
000.240,-0.010	
000.250,-0.020	
000.260,-0.035	
000.270,-0.045	
000.280,-0.045	
000.290,-0.045	
000.300,-0.040	
000.310,-0.055	
000.320,-0.075	
000.330,-0.085	
000.340,-0.075	
000.350,-0.060	
000.360,-0.085	
000.370,-0.080	
000.380,-0.100	
000.390,-0.070	
000.400,-0.085	
000.410,-0.075	
000.420,-0.085	
000.430,-0.080	
000.440,-0.090	
000.450,-0.085	
000.460,-0.105	
000.470,-0.080	
000.480,-0.080	
000.490,-0.010	
000.500,0.020	
000.510,0.025	
000.520,0.105	
000.530,0.165	
000.540,0.115	
000.550,0.020	
000.560,-0.035	
000.570,-0.035	
000.580,-0.165	
000.590,-0.190	
000.600,-0.210	
000.610,-0.190	
000.620,-0.220	
000.630,-0.190	
000.640,0.195	
000.650,1.070	
000.660,1.700	
000.670,0.340	
000.680,-0.575	
000.690,-0.715	
000.700,-0.475	
000.710,-0.200	
000.720,-0.180	
000.730,-0.165	
000.740,-0.180	
000.750,-0.145	
000.760,-0.125	
000.770,-0.125	
000.780,-0.115	
000.790,-0.095	
000.800,-0.085	
000.810,-0.050	
000.820,-0.030	
000.830,-0.010	
000.840,0.005	
000.850,0.065	
000.860,0.090	
000.870,0.130	
000.880,0.175	
000.890,0.235	
000.900,0.230	
000.910,0.255	
000.920,0.265	
000.930,0.290	
000.940,0.255	
000.950,0.245	
000.960,0.200	
000.970,0.150	
000.980,0.085	
000.990,0.040	
001.000,0.025	
001.010,-0.010	
001.020,-0.010	
001.030,-0.035	
001.040,-0.030	
001.050,-0.020	
001.060,-0.020	
001.070,-0.015	
001.080,-0.020	
001.090,-0.015	
001.100,-0.025	
001.110,-0.020	
001.120,-0.020	
001.130,-0.020	
001.140,-0.045	
001.150,-0.055	
001.160,-0.050	
001.170,-0.080	
001.180,-0.060	
001.190,-0.055	
001.200,-0.060	
001.210,-0.095	
001.220,-0.095	
001.230,-0.075	
001.240,-0.075	
001.250,-0.070	
001.260,-0.075	
001.270,-0.065	
001.280,-0.050	
001.290,-0.085	
001.300,-0.095	
001.310,-0.080	
001.320,-0.080	
001.330,-0.085	
001.340,-0.100	
001.350,-0.085	
001.360,-0.080	
001.370,-0.085	
001.380,-0.090	
001.390,-0.085	
001.400,-0.050	
001.410,0.010	
001.420,0.045	
001.430,0.065	
001.440,0.165	
001.450,0.110	
001.460,0.035	
001.470,-0.020	
001.480,-0.040	
001.490,-0.130	
001.500,-0.200	
001.510,-0.200	
001.520,-0.170	
001.530,-0.225	
001.540,-0.245	
001.550,0.070	
001.560,0.895	
001.570,1.545	
001.580,0.695	
001.590,-0.380	
001.600,-0.745	
001.610,-0.530	
001.620,-0.265	
001.630,-0.180	
001.640,-0.150	
001.650,-0.180	
001.660,-0.150	
001.670,-0.150	
001.680,-0.130	
001.690,-0.135	
001.700,-0.075	
001.710,-0.090	
001.720,-0.055	
001.730,-0.035	
001.740,-0.030	
001.750,0.020	
001.760,0.025	
001.770,0.075	
001.780,0.115	
001.790,0.160	
001.800,0.195	
001.810,0.225	
001.820,0.255	
001.830,0.255	
001.840,0.255	
001.850,0.255	
001.860,0.255	
001.870,0.190	
001.880,0.170	
001.890,0.090	
001.900,0.060	
001.910,0.025	
001.920,0.000	
001.930,-0.010	
001.940,-0.030	
001.950,-0.035	
001.960,-0.030	
001.970,-0.015	
001.980,-0.010	
001.990,-0.035	
002.000,0.000	
002.010,-0.005	
002.020,-0.030	
002.030,-0.030	
002.040,-0.025	
002.050,-0.030	
002.060,-0.055	
002.070,-0.040	
002.080,-0.060	
002.090,-0.050	
002.100,-0.080	
002.110,-0.070	
002.120,-0.085	
002.130,-0.065	
002.140,-0.065	
002.150,-0.070	
002.160,-0.085	
002.170,-0.080	
002.180,-0.080	
002.190,-0.095	
002.200,-0.095	
002.210,-0.085	
002.220,-0.105	
002.230,-0.105	
002.240,-0.110	
002.250,-0.090	
002.260,-0.120	
002.270,-0.095	
002.280,-0.095	
002.290,-0.035	
002.300,0.015	
002.310,0.025	
002.320,0.130	
002.330,0.155	
002.340,0.075	
002.350,0.010	
002.360,-0.045	
002.370,-0.080	
002.380,-0.190	
002.390,-0.175	
002.400,-0.235	
002.410,-0.185	
002.420,-0.230	
002.430,-0.170	
002.440,0.300	
002.450,1.180	
002.460,1.675	
002.470,0.140	
002.480,-0.715	
002.490,-0.720	
002.500,-0.455	
002.510,-0.175	
002.520,-0.175	
002.530,-0.160	
002.540,-0.155	
002.550,-0.135	
002.560,-0.150	
002.570,-0.100	
002.580,-0.085	
002.590,-0.075	
002.600,-0.060	
002.610,-0.045	
002.620,-0.035	
002.630,0.020	
002.640,0.035	
002.650,0.060	
002.660,0.115	
002.670,0.150	
002.680,0.190	
002.690,0.235	
002.700,0.255	
002.710,0.270	
002.720,0.265	
002.730,0.280	
002.740,0.265	
002.750,0.235	
002.760,0.180	
002.770,0.140	
002.780,0.075	
002.790,0.040	
002.800,0.000	
002.810,-0.010	
002.820,-0.010	
002.830,-0.035	
002.840,-0.030	
002.850,-0.030	
002.860,-0.015	
002.870,-0.040	
002.880,-0.030	
002.890,0.000	
002.900,-0.025	
002.910,-0.035	
002.920,-0.035	
002.930,-0.035	
002.940,-0.055	
002.950,-0.050	
002.960,-0.050	
002.970,-0.070	
002.980,-0.065	
002.990,-0.065	
003.000,-0.080	
003.010,-0.070	
003.020,-0.090	
003.030,-0.090	
003.040,-0.075	
003.050,-0.085	
003.060,-0.085	
003.070,-0.095	
003.080,-0.095	
003.090,-0.090	
003.100,-0.105	
003.110,-0.085	
003.120,-0.110	
003.130,-0.090	
003.140,-0.120	
003.150,-0.095	
003.160,-0.075	
003.170,0.000	
003.180,0.015	
003.190,0.030	
003.200,0.150	
003.210,0.120	
003.220,0.050	
003.230,0.000	
003.240,-0.040	
003.250,-0.095	
003.260,-0.205	
003.270,-0.205	
003.280,-0.210	
003.290,-0.205	
003.300,-0.240	
003.310,-0.110	
003.320,0.430	
003.330,1.275	
003.340,1.605	
003.350,0.000	
003.360,-0.795	
003.370,-0.650	
003.380,-0.405	
003.390,-0.160	
003.400,-0.165	
003.410,-0.160	
003.420,-0.160	
003.430,-0.145	
003.440,-0.155	
003.450,-0.110	
003.460,-0.090	
003.470,-0.090	
003.480,-0.065	
003.490,-0.025	
003.500,-0.010	
003.510,0.020	
003.520,0.015	
003.530,0.070	
003.540,0.110	
003.550,0.190	
003.560,0.200	
003.570,0.250	
003.580,0.270	
003.590,0.275	
003.600,0.295	
003.610,0.290	
003.620,0.260	
003.630,0.235	
003.640,0.195	
003.650,0.140	
003.660,0.070	
003.670,0.050	
003.680,0.035	
003.690,-0.005	
003.700,-0.015	
003.710,-0.015	
003.720,-0.020	
003.730,-0.020	
003.740,-0.015	
003.750,-0.025	
003.760,-0.020	
003.770,-0.020	
003.780,-0.020	
003.790,-0.020	
003.800,-0.035	
003.810,-0.035	
003.820,-0.030	
003.830,-0.045	
003.840,-0.055	
003.850,-0.050	
003.860,-0.055	
003.870,-0.065	
003.880,-0.070	
003.890,-0.075	
003.900,-0.080	
003.910,-0.090	
003.920,-0.090	
003.930,-0.110	
003.940,-0.060	
003.950,-0.100	
003.960,-0.075	
003.970,-0.090	
003.980,-0.080	
003.990,-0.085	
004.000,-0.110	
004.010,-0.095	
004.020,-0.070	
004.030,-0.080	
004.040,-0.090	
004.050,-0.105	
004.060,0.015	
004.070,0.010	
004.080,0.030	
004.090,0.125	
004.100,0.145	
004.110,0.100	
004.120,0.025	
004.130,-0.055	
004.140,-0.060	
004.150,-0.165	
004.160,-0.190	
004.170,-0.220	
004.180,-0.185	
004.190,-0.235	
004.200,-0.175	
004.210,0.275	
004.220,1.185	
004.230,1.720	
004.240,0.175	
004.250,-0.690	
004.260,-0.715	
004.270,-0.460	
004.280,-0.185	
004.290,-0.160	
004.300,-0.165	
004.310,-0.135	
004.320,-0.110	
004.330,-0.140	
004.340,-0.110	
004.350,-0.100	
004.360,-0.060	
004.370,-0.060	
004.380,-0.040	
004.390,-0.005	
004.400,0.005	
004.410,0.005	
004.420,0.080	
004.430,0.095	
004.440,0.145	
004.450,0.175	
004.460,0.225	
004.470,0.245	
004.480,0.250	
004.490,0.245	
004.500,0.275	
004.510,0.250	
004.520,0.235	
004.530,0.200	
004.540,0.140	
004.550,0.085	
004.560,0.035	
004.570,0.015	
004.580,-0.025	
004.590,-0.015	
004.600,-0.020	
004.610,-0.055	
004.620,-0.020	
004.630,-0.045	
004.640,-0.015	
004.650,-0.035	
004.660,-0.020	
004.670,-0.025	
004.680,-0.030	
004.690,-0.050	
004.700,-0.040	
004.710,-0.020	
004.720,-0.065	
004.730,-0.080	
004.740,-0.070	
004.750,-0.050	
004.760,-0.085	
004.770,-0.075	
004.780,-0.075	
004.790,-0.080	
004.800,-0.085	
004.810,-0.100	
004.820,-0.080	
004.830,-0.105	
004.840,-0.095	
004.850,-0.120	
004.860,-0.070	
004.870,-0.110	
004.880,-0.110	
004.890,-0.075	
004.900,-0.025	
004.910,0.020	
004.920,0.015	
004.930,0.105	
004.940,0.195	
004.950,0.110	
004.960,0.040	
004.970,-0.025	
004.980,-0.015	
004.990,-0.160	
005.000,-0.185	
005.010,-0.230	
005.020,-0.190	
005.030,-0.170	
005.040,-0.265	
005.050,0.090	
005.060,0.950	
005.070,1.615	
005.080,0.615	
005.090,-0.445	
005.100,-0.755	
005.110,-0.555	
005.120,-0.265	
005.130,-0.185	
005.140,-0.175	
005.150,-0.165	
005.160,-0.155	
005.170,-0.165	
005.180,-0.120	
005.190,-0.105	
005.200,-0.075	
005.210,-0.075	
005.220,-0.055	
005.230,-0.030	
005.240,0.000	
005.250,0.000	
005.260,0.065	
005.270,0.100	
005.280,0.150	
005.290,0.170	
005.300,0.185	
005.310,0.255	
005.320,0.255	
005.330,0.245	
005.340,0.275	
005.350,0.270	
005.360,0.245	
005.370,0.195	
005.380,0.165	
005.390,0.100	
005.400,0.035	
005.410,0.000	
005.420,0.000	
005.430,-0.030	
005.440,-0.035	
005.450,-0.050	
005.460,-0.040	
005.470,-0.015	
005.480,-0.035	
005.490,-0.015	
005.500,-0.040	
005.510,-0.035	
005.520,-0.030	
005.530,-0.040	
005.540,-0.040	
005.550,-0.065	
005.560,-0.060	
005.570,-0.055	
005.580,-0.070	
005.590,-0.085	
005.600,-0.075	
005.610,-0.090	
005.620,-0.090	
005.630,-0.090	
005.640,-0.095	
005.650,-0.075	
005.660,-0.100	
005.670,-0.115	
005.680,-0.110	
005.690,-0.095	
005.700,-0.095	
005.710,-0.085	
005.720,-0.095	
005.730,-0.060	
005.740,0.005	
005.750,0.010	
005.760,0.090	
005.770,0.165	
005.780,0.115	
005.790,0.020	
005.800,-0.020	
005.810,-0.060	
005.820,-0.140	
005.830,-0.210	
005.840,-0.220	
005.850,-0.200	
005.860,-0.220	
005.870,-0.250	
005.880,0.045	
005.890,0.825	
005.900,1.530	
005.910,0.890	
005.920,-0.325	
005.930,-0.780	
005.940,-0.550	
005.950,-0.300	
005.960,-0.185	
005.970,-0.160	
005.980,-0.170	
005.990,-0.155	
006.000,-0.145	
006.010,-0.120	
006.020,-0.105	
006.030,-0.110	
006.040,-0.075	
006.050,-0.040	
006.060,-0.040	
006.070,0.005	
006.080,0.020	
006.090,0.070	
006.100,0.095	
006.110,0.130	
006.120,0.180	
006.130,0.205	
006.140,0.250	
006.150,0.270	
006.160,0.285	
006.170,0.285	
006.180,0.285	
006.190,0.275	
006.200,0.225	
006.210,0.155	
006.220,0.120	
006.230,0.070	
006.240,0.000	
006.250,-0.005	
006.260,-0.005	
006.270,-0.005	
006.280,-0.005	
006.290,-0.030	
006.300,-0.030	
006.310,-0.020	
006.320,0.005	
006.330,-0.020	
006.340,-0.025	
006.350,0.000	
006.360,-0.030	
006.370,-0.045	
006.380,-0.035	
006.390,-0.030	
006.400,-0.070	
006.410,-0.075	
006.420,-0.065	
006.430,-0.080	
006.440,-0.065	
006.450,-0.090	
006.460,-0.070	
006.470,-0.095	
006.480,-0.090	
006.490,-0.100	
006.500,-0.090	
006.510,-0.070	
006.520,-0.080	
006.530,-0.110	
006.540,-0.090	
006.550,-0.055	
006.560,-0.035	
006.570,0.020	
006.580,0.025	
006.590,0.090	
006.600,0.175	
006.610,0.115	
006.620,0.030	
006.630,-0.005	
006.640,-0.045	
006.650,-0.150	
006.660,-0.195	
006.670,-0.215	
006.680,-0.200	
006.690,-0.195	
006.700,-0.235	
006.710,0.060	
006.720,0.850	
006.730,1.530	
006.740,0.890	
006.750,-0.320	
006.760,-0.780	
006.770,-0.525	
006.780,-0.260	
006.790,-0.165	
006.800,-0.165	
006.810,-0.175	
006.820,-0.150	
006.830,-0.135	
006.840,-0.125	
006.850,-0.090	
006.860,-0.090	
006.870,-0.085	
006.880,-0.055	
006.890,-0.030	
006.900,0.000	
006.910,0.020	
006.920,0.075	
006.930,0.085	
006.940,0.130	
006.950,0.185	
006.960,0.225	
006.970,0.255	
006.980,0.265	
006.990,0.265	
007.000,0.280	
007.010,0.270	
007.020,0.255	
007.030,0.195	
007.040,0.165	
007.050,0.115	
007.060,0.060	
007.070,0.035	
007.080,0.015	
007.090,-0.005	
007.100,-0.030	
007.110,-0.025	
007.120,-0.015	
007.130,-0.010	
007.140,0.000	
007.150,-0.015	
007.160,-0.005	
007.170,-0.010	
007.180,-0.005	
007.190,-0.015	
007.200,-0.010	
007.210,-0.025	
007.220,-0.030	
007.230,-0.035	
007.240,-0.040	
007.250,-0.060	
007.260,-0.045	
007.270,-0.055	
007.280,-0.065	
007.290,-0.070	
007.300,-0.070	
007.310,-0.075	
007.320,-0.080	
007.330,-0.075	
007.340,-0.080	
007.350,-0.085	
007.360,-0.090	
007.370,-0.085	
007.380,-0.075	
007.390,-0.080	
007.400,-0.065	
007.410,-0.080	
007.420,-0.075	
007.430,-0.090	
007.440,-0.080	
007.450,-0.085	
007.460,-0.090	
007.470,-0.080	
007.480,-0.005	
007.490,0.035	
007.500,0.035	
007.510,0.115	
007.520,0.155	
007.530,0.100	
007.540,0.020	
007.550,-0.050	
007.560,-0.035	
007.570,-0.140	
007.580,-0.180	
007.590,-0.215	
007.600,-0.190	
007.610,-0.190	
007.620,-0.205	
007.630,0.115	
007.640,0.990	
007.650,1.680	
007.660,0.540	
007.670,-0.525	
007.680,-0.680	
007.690,-0.430	
007.700,-0.190	
007.710,-0.165	
007.720,-0.160	
007.730,-0.180	
007.740,-0.155	
007.750,-0.150	
007.760,-0.140	
007.770,-0.125	
007.780,-0.100	
007.790,-0.105	
007.800,-0.060	
007.810,-0.040	
007.820,0.000	
007.830,0.005	
007.840,0.025	
007.850,0.060	
007.860,0.105	
007.870,0.155	
007.880,0.185	
007.890,0.205	
007.900,0.245	
007.910,0.245	
007.920,0.265	
007.930,0.265	
007.940,0.220	
007.950,0.185	
007.960,0.150	
007.970,0.115	
007.980,0.070	
007.990,0.015	
008.000,-0.005	
008.010,-0.020	
008.020,-0.030	
008.030,-0.015	
008.040,0.000	
008.050,-0.025	
008.060,-0.035	
008.070,-0.015	
008.080,-0.005	
008.090,-0.045	
008.100,-0.030	
008.110,-0.035	
008.120,-0.025	
008.130,-0.050	
008.140,-0.035	
008.150,-0.045	
008.160,-0.055	
008.170,-0.065	
008.180,-0.065	
008.190,-0.080	
008.200,-0.060	
008.210,-0.075	
008.220,-0.085	
008.230,-0.080	
008.240,-0.075	
008.250,-0.075	
008.260,-0.075	
008.270,-0.100	
008.280,-0.090	
008.290,-0.095	
008.300,-0.085	
008.310,-0.100	
008.320,-0.085	
008.330,-0.095	
008.340,-0.075	
008.350,-0.050	
008.360,0.000	
008.370,0.030	
008.380,0.055	
008.390,0.170	
008.400,0.145	
008.410,0.075	
008.420,-0.005	
008.430,-0.025	
008.440,-0.085	
008.450,-0.200	
008.460,-0.205	
008.470,-0.195	
008.480,-0.180	
008.490,-0.245	
008.500,-0.065	
008.510,0.420	
008.520,1.180	
008.530,1.445	
008.540,-0.010	
008.550,-0.765	
008.560,-0.675	
008.570,-0.410	
008.580,-0.175	
008.590,-0.170	
008.600,-0.130	
008.610,-0.140	
008.620,-0.130	
008.630,-0.150	
008.640,-0.115	
008.650,-0.100	
008.660,-0.060	
008.670,-0.045	
008.680,-0.045	
008.690,-0.050	
008.700,0.010	
008.710,0.035	
008.720,0.070	
008.730,0.110	
008.740,0.155	
008.750,0.165	
008.760,0.185	
008.770,0.225	
008.780,0.260	
008.790,0.235	
008.800,0.255	
008.810,0.215	
008.820,0.235	
008.830,0.185	
008.840,0.115	
008.850,0.070	
008.860,0.060	
008.870,0.020	
008.880,-0.010	
008.890,-0.005	
008.900,-0.025	
008.910,0.000	
008.920,-0.010	
008.930,-0.020	
008.940,-0.010	
008.950,-0.020	
008.960,-0.005	
008.970,-0.030	
008.980,-0.030	
008.990,-0.010	
009.000,-0.045	
009.010,-0.020	
009.020,-0.060	
009.030,-0.035	
009.040,-0.055	
009.050,-0.055	
009.060,-0.065	
009.070,-0.070	
009.080,-0.075	
009.090,-0.080	
009.100,-0.105	
009.110,-0.050	
009.120,-0.090	
009.130,-0.070	
009.140,-0.090	
009.150,-0.090	
009.160,-0.105	
009.170,-0.070	
009.180,-0.105	
009.190,-0.105	
009.200,-0.060	
009.210,-0.015	
009.220,0.020	
009.230,0.035	
009.240,0.140	
009.250,0.185	
009.260,0.105	
009.270,0.030	
009.280,-0.045	
009.290,-0.055	
009.300,-0.170	
009.310,-0.200	
009.320,-0.205	
009.330,-0.195	
009.340,-0.230	
009.350,-0.190	
009.360,0.240	
009.370,1.120	
009.380,1.655	
009.390,0.155	
009.400,-0.695	
009.410,-0.760	
009.420,-0.520	
009.430,-0.210	
009.440,-0.175	
009.450,-0.155	
009.460,-0.180	
009.470,-0.135	
009.480,-0.120	
009.490,-0.090	
009.500,-0.095	
009.510,-0.080	
009.520,-0.060	
009.530,-0.030	
009.540,-0.025	
009.550,0.015	
009.560,0.025	
009.570,0.080	
009.580,0.110	
009.590,0.160	
009.600,0.180	
009.610,0.230	
009.620,0.240	
009.630,0.245	
009.640,0.255	
009.650,0.250	
009.660,0.255	
009.670,0.215	
009.680,0.185	
009.690,0.135	
009.700,0.095	
009.710,0.055	
009.720,0.000	
009.730,0.000	
009.740,0.000	
009.750,-0.015	
009.760,-0.040	
009.770,-0.025	
009.780,-0.010	
009.790,-0.025	
009.800,-0.015	
009.810,-0.020	
009.820,-0.025	
009.830,-0.040	
009.840,-0.040	
009.850,-0.010	
009.860,-0.055	
009.870,-0.040	
009.880,-0.060	
009.890,-0.080	
009.900,-0.065	
009.910,-0.065	
009.920,-0.080	
009.930,-0.065	
009.940,-0.085	
009.950,-0.090	
009.960,-0.090	
009.970,-0.085	
009.980,-0.110	
009.990,-0.100	
010.000,-0.100	
010.010,-0.100	
010.020,-0.105	
010.030,-0.090	
010.040,-0.090	
010.050,-0.040	
010.060,0.025	
010.070,0.025	
010.080,0.110	
010.090,0.160	
010.100,0.090	
010.110,0.010	
010.120,-0.035	
010.130,-0.060	
010.140,-0.165	
010.150,-0.205	
010.160,-0.205	
010.170,-0.190	
010.180,-0.215	
010.190,-0.250	
010.200,0.085	
010.210,0.935	
010.220,1.595	
010.230,0.655	
010.240,-0.435	
010.250,-0.745	
010.260,-0.505	
010.270,-0.230	
010.280,-0.195	
010.290,-0.175	
010.300,-0.150	
010.310,-0.150	
010.320,-0.140	
010.330,-0.115	
010.340,-0.115	
010.350,-0.065	
010.360,-0.090	
010.370,-0.055	
010.380,-0.025	
010.390,0.000	
010.400,0.025	
010.410,0.050	
010.420,0.085	
010.430,0.125	
010.440,0.175	
010.450,0.195	
010.460,0.210	
010.470,0.235	
010.480,0.255	
010.490,0.255	
010.500,0.240	
010.510,0.235	
010.520,0.200	
010.530,0.140	
010.540,0.080	
010.550,0.065	
010.560,0.010	
010.570,-0.005	
010.580,-0.020	
010.590,-0.010	
010.600,-0.005	
010.610,-0.020	
010.620,-0.025	
010.630,-0.025	
010.640,-0.015	
010.650,-0.005	
010.660,-0.020	
010.670,-0.040	
010.680,-0.020	
010.690,-0.015	
010.700,-0.045	
010.710,-0.060	
010.720,-0.055	
010.730,-0.085	
010.740,-0.070	
010.750,-0.075	
010.760,-0.060	
010.770,-0.080	
010.780,-0.085	
010.790,-0.075	
010.800,-0.065	
010.810,-0.090	
010.820,-0.080	
010.830,-0.080	
010.840,-0.100	
010.850,-0.105	
010.860,-0.070	
010.870,-0.125	
010.880,-0.105	
010.890,-0.120	
010.900,-0.100	
010.910,-0.075	
010.920,-0.025	
010.930,0.040	
010.940,0.020	
010.950,0.110	
010.960,0.170	
010.970,0.115	
010.980,0.000	
010.990,-0.040	
011.000,-0.035	
011.010,-0.150	
011.020,-0.205	
011.030,-0.195	
011.040,-0.190	
011.050,-0.200	
011.060,-0.225	
011.070,0.090	
011.080,0.885	
011.090,1.545	
011.100,0.745	
011.110,-0.405	
011.120,-0.725	
011.130,-0.465	
011.140,-0.210	
011.150,-0.165	
011.160,-0.140	
011.170,-0.135	
011.180,-0.130	
011.190,-0.140	
011.200,-0.100	
011.210,-0.085	
011.220,-0.085	
011.230,-0.075	
011.240,-0.045	
011.250,-0.030	
011.260,0.005	
011.270,0.015	
011.280,0.070	
011.290,0.090	
011.300,0.130	
011.310,0.175	
011.320,0.200	
011.330,0.235	
011.340,0.255	
011.350,0.240	
011.360,0.260	
011.370,0.275	
011.380,0.245	
011.390,0.205	
011.400,0.155	
011.410,0.115	
011.420,0.080	
011.430,0.055	
011.440,-0.020	
011.450,-0.010	
011.460,-0.015	
011.470,-0.020	
011.480,-0.030	
011.490,0.000	
011.500,0.000	
011.510,-0.005	
011.520,-0.005	
011.530,-0.020	
011.540,-0.020	
011.550,-0.005	
011.560,-0.030	
011.570,-0.055	
011.580,-0.040	
011.590,-0.060	
011.600,-0.050	
011.610,-0.070	
011.620,-0.065	
011.630,-0.065	
011.640,-0.065	
011.650,-0.095	
011.660,-0.075	
011.670,-0.070	
011.680,-0.080	
011.690,-0.090	
011.700,-0.075	
011.710,-0.105	
011.720,-0.080	
011.730,-0.120	
011.740,-0.075	
011.750,-0.055	
011.760,-0.015	
011.770,0.050	
011.780,0.025	
011.790,0.140	
011.800,0.205	
011.810,0.100	
011.820,0.010	
011.830,-0.020	
011.840,-0.045	
011.850,-0.180	
011.860,-0.165	
011.870,-0.200	
011.880,-0.170	
011.890,-0.230	
011.900,-0.210	
011.910,0.190	
011.920,1.050	
011.930,1.605	
011.940,0.235	
011.950,-0.600	
011.960,-0.735	
